Programme Name,University Name,Location,Programme Code,Cut-off 2017,Cut-off 2018,Cut-off 2019,Cut-off 2020,Cut-off 2021,Cut-off 2022,Cut-off 2023
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,Siaya County,1053107,31.066,28.99,25.614,24.351,20.1,19.914,18.831
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),EGERTON UNIVERSITY,Nakuru County,1057107,38.013,38.588,37.049,35.48,30.859,28.868,32.262
BACHELOR OF ACTUARIAL SCIENCE,KISII UNIVERSITY,Kisii County,1087107,31.853,28.805,27.711,24.599,20.1,19.914,18.831
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),KENYATTA UNIVERSITY,Nairobi County,1111107,40.773,41.214,40.194,38.135,36.908,31.842,34.474
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,UNIVERSITY OF ELDORET,Uasin Gishu County,1114107,35.161,35.258,32.578,28.517,29.666,19.914,23.568
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),UNIVERSITY OF KABIANGA,Kericho County,1118107,29.821,30.582,27.99,23.937,26.367,19.914,18.831
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,MULTIMEDIA UNIVERSITY OF KENYA,Nairobi County,1164107,35.816,36.678,36.283,31.782,31.618,25.777,28.075
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166107,28.757,28.373,25.294,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,Nyeri County,1173107,36.156,35.774,33.396,32.505,30.427,24.342,24.443
"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",MASENO UNIVERSITY,Kisumu County,1229107,35.81,36.29,35.366,30.848,31.886,24.601,26.81
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240107,33.766,26.665,28.007,24.404,20.1,19.914,18.831
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,KARATINA UNIVERSITY,Nyeri County,1244107,29.859,30.631,28.875,23.994,20.1,19.914,18.831
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249107,39.52,40.06,39.735,36.119,37.145,31.441,34.347
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),MOI UNIVERSITY,Uasin Gishu County,1253107,39.424,39.031,38.075,35.689,33.425,24.923,24.905
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),UNIVERSITY OF NAIROBI,Nairobi County,1263107,41.516,41.848,41.816,38.514,40.134,39.271,39.531
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,DAYSTAR UNIVERSITY,Machakos County,1162107,37.585,33.778,35.13,26.929,27.913,19.914,18.831
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,MOUNT KENYA UNIVERSITY,Kiambu County,1279107,32.415,33.051,32.162,30.098,31.88,19.914,18.831
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,CATHOLIC UNIVERSITY OF EASTERN  AFRICA,Nairobi County,1480107,32.582,30.837,31.753,25.177,22.92,19.914,18.831
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,KIRINYAGA UNIVERSITY,Kirinyaga County,1079107,30.196,24.377,25.729,23.532,20.1,19.914,18.831
